p_p64_p64,p_p37_p37_1,p_p37_p37_2,p_p37_p37_3,p_p37_p37_4,p_p37_p37_5,p_p37_p37_6,p_p37_p37_7,p_p37_p37_8,p_p37_p37_9,p_p37_p37_10,p_p37_p37_11,p_p37_p37_12,p_p37_p37_13,fexp
3,1,0,0,0,0,0,1,0,0,0,0,0,1,15.6259542
3,0,0,1,0,1,1,0,0,0,0,0,0,0,15.6259542
2,0,0,1,0,0,0,0,0,0,0,0,1,0,15.6259542
2,1,0,0,0,0,0,0,1,0,1,0,0,0,15.6259542
2,0,0,0,0,0,0,0,1,1,1,0,0,0,15.6259542
2,0,1,0,1,0,1,0,0,0,0,0,0,0,15.6259542
2,0,0,1,1,1,0,0,0,0,0,0,0,0,15.6259542
1,0,0,1,0,1,1,0,0,0,0,0,0,0,15.6259542
3,0,1,0,0,1,0,0,1,0,0,0,0,0,15.6259542
3,0,1,0,0,0,0,0,0,0,0,0,1,0,15.6259542
2,0,1,0,0,0,0,0,0,0,0,0,0,0,15.6259542
3,0,0,0,1,1,0,0,1,0,0,0,0,0,15.6259542
3,0,0,0,0,1,1,0,1,0,0,0,0,0,15.6259542
1,0,1,1,0,0,0,0,0,1,0,0,0,0,15.6259542
2,0,0,0,0,1,0,0,0,0,0,1,0,0,15.6259542
2,0,1,0,1,0,0,1,0,0,0,0,0,0,15.6259542
2,1,0,0,0,0,1,0,0,1,0,0,0,0,15.6259542
2,0,0,0,0,0,0,0,1,1,0,1,0,0,15.6259542
3,0,1,1,0,0,0,0,0,1,0,0,0,0,15.6259542
3,0,1,1,1,0,0,0,0,0,0,0,0,0,15.6259542
2,0,1,1,0,0,0,0,0,0,0,0,0,0,6.687943262
3,0,1,0,0,0,0,1,0,0,1,0,0,0,6.687943262
3,0,0,1,0,0,1,0,0,0,0,0,0,0,6.687943262
2,0,0,0,1,0,0,1,0,0,0,0,1,0,6.687943262
3,0,0,1,0,1,0,0,0,1,0,0,0,0,6.687943262
2,0,0,0,0,1,1,0,1,0,0,0,0,0,6.687943262
3,0,1,0,0,1,0,0,0,0,0,0,1,0,6.687943262
2,0,1,0,0,1,0,0,0,0,0,0,0,0,15.6259542
2,0,0,1,0,0,1,0,0,0,0,0,0,0,6.687943262
3,1,0,0,1,0,0,1,0,0,0,0,0,0,6.687943262
2,0,0,0,0,1,0,0,1,1,0,0,0,0,6.687943262
2,0,1,0,1,0,0,0,1,0,0,0,0,0,6.687943262
2,0,0,1,0,0,1,0,1,0,0,0,0,0,6.687943262
2,0,0,0,1,0,0,1,0,1,0,0,0,0,6.687943262
3,0,0,1,0,0,0,0,1,0,1,0,0,0,6.687943262
2,0,1,0,0,0,0,1,0,1,0,0,0,0,15.6259542
2,0,1,0,0,1,0,0,0,0,0,1,0,0,6.687943262
2,0,0,1,0,1,1,0,0,0,0,0,0,0,6.687943262
2,1,0,0,0,1,0,0,0,0,1,0,0,0,6.687943262
2,0,1,0,0,1,0,0,1,0,0,0,0,0,6.687943262
2,0,0,1,0,0,1,0,1,0,0,0,0,0,6.687943262
2,1,0,1,0,0,1,0,0,0,0,0,0,0,6.687943262
2,1,0,0,0,0,0,1,0,0,0,0,1,0,6.687943262
2,0,1,1,0,0,0,0,1,0,0,0,0,0,6.687943262
1,0,0,1,1,0,0,1,0,0,0,0,0,0,6.687943262
1,0,1,1,0,0,0,0,0,0,0,0,0,0,6.687943262
2,0,1,0,0,0,1,0,1,0,0,0,0,0,6.687943262
2,0,0,0,0,0,0,1,0,0,0,0,0,0,6.687943262
2,0,0,1,0,1,0,0,0,0,0,0,0,1,6.687943262
2,0,0,0,0,1,0,1,0,0,1,0,0,0,6.687943262
2,0,1,0,0,0,1,0,1,0,0,0,0,0,15.6259542
2,0,1,0,0,1,0,1,0,0,0,0,0,0,3.287037037
3,1,0,0,0,1,0,0,1,0,0,0,0,0,3.287037037
2,1,1,0,0,0,0,0,0,0,0,0,1,0,3.287037037
2,0,1,1,0,0,0,1,0,0,0,0,0,0,3.287037037
3,1,0,0,1,0,0,1,0,0,0,0,0,0,3.287037037
2,0,0,0,0,1,0,0,0,1,0,1,0,0,15.6259542
2,0,0,0,0,1,0,0,0,0,0,0,0,0,3.287037037
2,0,1,1,0,0,0,1,0,0,0,0,0,0,3.287037037
3,0,0,1,1,0,0,0,0,1,0,0,0,0,3.287037037
2,0,0,0,0,0,0,1,1,0,0,0,1,0,3.287037037
2,0,1,0,0,0,0,1,0,1,0,0,0,0,3.287037037
2,0,1,0,0,0,0,1,1,0,0,0,0,0,3.287037037
3,0,1,0,0,0,1,0,0,1,0,0,0,0,15.6259542
2,1,1,0,0,0,1,0,0,0,0,0,0,0,3.287037037
2,0,1,1,0,0,0,1,0,0,0,0,0,0,3.287037037
2,1,0,0,0,1,1,0,0,0,0,0,0,0,3.287037037
2,1,0,1,1,0,0,0,0,0,0,0,0,0,3.287037037
2,0,1,0,0,0,1,1,0,0,0,0,0,0,3.287037037
2,0,1,0,0,0,0,0,1,0,0,0,1,0,3.287037037
2,0,0,0,0,1,0,0,0,1,0,0,0,0,3.287037037
1,0,0,1,1,0,0,0,0,1,0,0,0,0,3.287037037
2,0,1,0,0,1,1,0,0,0,0,0,0,0,3.287037037
2,0,0,1,0,0,1,0,1,0,0,0,0,0,3.287037037
2,0,0,1,0,0,1,0,0,0,0,0,0,0,3.287037037
2,0,0,1,0,0,0,0,1,0,0,1,0,0,3.287037037
1,0,0,1,0,1,0,1,0,0,0,0,0,0,15.6259542
2,0,0,0,1,0,0,1,1,0,0,0,0,0,3.287037037
2,0,1,0,0,0,1,0,1,0,0,0,0,0,3.287037037
2,0,0,0,1,1,0,0,1,0,0,0,0,0,3.287037037
2,1,0,0,0,1,0,0,1,0,0,0,0,0,3.287037037
2,0,1,0,0,0,0,1,0,0,0,0,1,0,3.287037037
3,0,0,1,0,0,1,0,1,0,0,0,0,0,3.287037037
3,1,1,0,0,0,0,0,0,0,0,0,1,0,3.287037037
2,0,1,1,0,0,0,0,1,0,0,0,0,0,3.287037037
1,1,1,0,1,0,0,0,0,0,0,0,0,0,3.287037037
2,0,0,0,0,0,1,1,1,0,0,0,0,0,3.287037037
2,1,1,0,1,0,0,0,0,0,0,0,0,0,3.287037037
2,0,0,0,0,1,0,1,1,0,0,0,0,0,3.287037037
2,0,0,1,1,0,0,0,1,0,0,0,0,0,3.287037037
2,0,1,1,1,0,0,0,0,0,0,0,0,0,3.287037037
2,1,1,0,0,0,0,0,0,0,0,0,1,0,3.287037037
2,0,0,1,0,0,0,1,1,0,0,0,0,0,3.287037037
1,0,0,0,0,1,0,0,1,1,0,0,0,0,3.287037037
2,0,0,1,0,0,0,0,1,0,0,0,0,0,3.287037037
2,0,0,0,1,1,0,0,0,1,0,0,0,0,3.287037037
2,0,1,0,0,0,0,0,1,0,0,1,0,0,3.287037037
2,1,1,1,0,0,0,0,0,0,0,0,0,0,3.287037037
2,0,1,1,0,0,0,0,1,0,0,0,0,0,3.287037037
2,1,0,0,0,0,0,0,0,0,0,0,1,0,3.287037037
2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.287037037
2,0,0,1,0,0,0,0,1,0,0,0,0,0,3.287037037
2,1,1,1,0,0,0,0,0,0,0,0,0,0,3.287037037
2,0,0,1,0,0,1,0,0,0,0,0,0,0,3.287037037
2,0,1,0,0,1,0,1,0,0,0,0,0,0,3.287037037
3,0,0,0,0,0,0,0,1,1,0,0,1,0,3.287037037
2,0,0,1,0,1,0,1,0,0,0,0,0,0,3.287037037
2,1,0,1,0,1,0,0,0,0,0,0,0,0,3.287037037
1,1,0,1,0,0,0,1,0,0,0,0,0,0,3.287037037
2,0,0,1,0,0,0,1,0,0,0,0,0,0,3.287037037
3,0,0,1,0,0,0,0,0,0,0,0,0,0,15.6259542
3,0,1,1,1,0,0,0,0,0,0,0,0,0,3.287037037
2,0,1,1,0,0,0,0,1,0,0,0,0,0,3.287037037
2,0,0,0,1,0,0,1,1,0,0,0,0,0,3.287037037
1,0,1,1,0,1,0,0,0,0,0,0,0,0,3.287037037
2,1,0,0,0,0,0,1,0,0,0,0,0,0,3.287037037
2,0,0,0,0,1,0,1,1,0,0,0,0,0,3.287037037
2,0,1,1,0,1,0,0,0,0,0,0,0,0,3.287037037
3,0,1,1,0,0,0,0,1,0,0,0,0,0,3.287037037
2,0,1,0,1,0,1,0,0,0,0,0,0,0,3.287037037
3,0,0,0,0,1,0,1,0,0,0,0,1,0,418.6834532
2,0,1,0,0,0,0,1,0,0,1,0,0,0,418.6834532
3,0,0,0,0,0,0,0,1,0,1,1,0,0,418.6834532
2,1,1,1,0,0,0,0,0,0,0,0,0,0,418.6834532
2,0,0,1,0,1,0,0,0,0,0,0,0,0,418.6834532
2,0,0,0,0,1,0,0,1,0,0,1,0,0,418.6834532
3,1,0,1,0,0,0,1,0,0,0,0,0,0,418.6834532
2,0,1,0,0,0,0,1,1,0,0,0,0,0,418.6834532
2,1,0,0,0,0,0,1,0,0,0,0,0,0,418.6834532
3,1,0,1,0,0,1,0,0,0,0,0,0,0,418.6834532
3,1,0,0,0,1,0,0,1,0,0,0,0,0,418.6834532
3,0,1,0,0,1,0,1,0,0,0,0,0,0,418.6834532
3,0,1,1,0,1,0,0,0,0,0,0,0,0,418.6834532
2,0,0,0,1,1,0,1,0,0,0,0,0,0,418.6834532
2,0,0,1,0,0,0,0,0,0,0,0,0,0,418.6834532
3,0,0,0,0,0,0,1,0,0,1,0,0,0,418.6834532
2,0,1,0,0,0,0,1,0,0,0,0,1,0,418.6834532
1,0,1,1,0,0,0,0,0,0,0,0,0,0,418.6834532
2,1,1,0,0,1,0,0,0,0,0,0,0,0,418.6834532
2,0,0,0,0,0,0,1,0,1,0,0,0,0,418.6834532
3,0,1,0,0,0,0,0,0,1,0,0,0,0,418.6834532
2,0,1,0,0,0,1,1,0,0,0,0,0,0,418.6834532
2,1,0,0,0,0,0,1,0,0,0,0,0,0,15.6259542
2,0,0,0,0,0,1,0,0,0,0,0,0,0,418.6834532
2,0,0,0,0,0,1,0,1,1,0,0,0,0,418.6834532
2,0,0,1,0,1,0,0,1,0,0,0,0,0,418.6834532
2,0,1,0,0,0,0,1,0,0,0,0,0,0,418.6834532
2,0,1,0,0,0,0,0,0,0,0,0,0,0,418.6834532
2,0,0,0,0,1,0,0,0,1,0,1,0,0,418.6834532
3,0,0,0,1,0,1,0,1,0,0,0,0,0,418.6834532
3,1,0,1,0,0,0,1,0,0,0,0,0,0,418.6834532
3,0,0,0,0,0,1,1,0,0,1,0,0,0,418.6834532
3,0,1,0,0,1,0,1,0,0,0,0,0,0,418.6834532
2,0,0,1,0,0,0,0,0,0,0,0,0,0,418.6834532
3,0,0,0,0,1,1,1,0,0,0,0,0,0,418.6834532
2,1,1,0,0,0,0,0,0,0,1,0,0,0,418.6834532
2,1,1,0,0,0,1,0,0,0,0,0,0,0,418.6834532
2,0,1,1,0,0,0,0,0,0,0,0,1,0,418.6834532
2,1,0,1,0,0,0,1,0,0,0,0,0,0,418.6834532
2,1,0,1,0,1,0,0,0,0,0,0,0,0,418.6834532
2,1,0,1,1,0,0,0,0,0,0,0,0,0,418.6834532
2,0,0,0,0,0,1,0,0,0,0,0,1,0,418.6834532
3,0,1,1,0,0,1,0,0,0,0,0,0,0,418.6834532
2,0,0,0,0,0,0,1,0,0,0,0,0,0,418.6834532
2,1,0,0,1,0,0,0,0,0,0,1,0,0,418.6834532
2,0,1,1,0,0,0,1,0,0,0,0,0,0,418.6834532
2,0,0,1,0,0,1,0,0,0,0,0,0,0,418.6834532
2,0,1,0,0,0,1,0,0,0,0,0,0,0,418.6834532
2,0,1,0,0,0,0,1,1,0,0,0,0,0,418.6834532
2,1,0,0,0,0,1,0,1,0,0,0,0,0,418.6834532
3,0,0,0,0,1,0,0,0,0,1,1,0,0,418.6834532
2,1,0,0,0,1,0,1,0,0,0,0,0,0,15.6259542
3,0,0,0,0,1,0,0,0,1,0,1,0,0,418.6834532
2,0,1,1,0,0,0,0,1,0,0,0,0,0,418.6834532
2,0,0,1,0,0,1,0,0,1,0,0,0,0,418.6834532
2,0,1,0,0,0,0,0,1,0,0,0,0,0,418.6834532
2,0,1,1,0,0,0,0,0,1,0,0,0,0,418.6834532
2,1,0,1,0,1,0,0,0,0,0,0,0,0,418.6834532
2,0,0,0,1,0,1,0,0,0,0,0,0,0,418.6834532
2,0,0,1,0,0,0,1,0,0,0,0,1,0,162.0330579
2,0,0,0,0,0,1,1,1,0,0,0,0,0,162.0330579
2,1,1,0,0,0,0,0,0,0,1,0,0,0,162.0330579
3,1,0,0,0,0,0,1,0,0,1,0,0,0,162.0330579
3,0,0,0,0,0,0,0,0,1,0,0,0,0,162.0330579
2,0,1,0,1,0,0,0,1,0,0,0,0,0,162.0330579
3,1,1,0,0,0,0,0,0,0,1,0,0,0,162.0330579
2,0,0,0,0,1,0,0,0,1,0,1,0,0,162.0330579
3,1,0,0,1,0,0,0,0,0,0,0,0,0,15.6259542
3,0,0,0,1,1,0,1,0,0,0,0,0,0,162.0330579
2,1,0,1,0,0,0,1,0,0,0,0,0,0,162.0330579
2,0,1,0,0,0,0,0,0,0,0,0,0,0,162.0330579
2,0,0,1,1,0,0,0,1,0,0,0,0,0,162.0330579
3,0,0,0,0,0,1,0,0,1,0,0,0,0,162.0330579
2,0,0,0,0,0,1,0,1,0,0,0,1,0,162.0330579
2,0,0,0,0,0,0,0,0,1,0,0,0,0,162.0330579
3,0,0,1,1,1,0,0,0,0,0,0,0,0,162.0330579
2,0,0,0,0,0,1,0,0,0,0,0,0,0,162.0330579
2,0,0,0,0,0,1,0,0,0,1,1,0,0,162.0330579
2,1,1,0,0,0,0,1,0,0,0,0,0,0,162.0330579
3,0,0,0,0,0,0,0,0,0,0,0,0,1,162.0330579
2,0,0,0,0,1,0,0,0,0,0,0,1,0,162.0330579
2,0,1,0,0,1,1,0,0,0,0,0,0,0,162.0330579
2,0,0,1,0,0,0,0,1,1,0,0,0,0,15.6259542
2,1,0,0,0,1,0,0,1,0,0,0,0,0,162.0330579
3,1,0,1,0,0,0,1,0,0,0,0,0,0,162.0330579
3,0,0,1,0,0,0,0,1,0,0,0,1,0,162.0330579
2,1,1,0,0,1,0,0,0,0,0,0,0,0,162.0330579
3,0,0,1,0,0,1,0,1,0,0,0,0,0,162.0330579
3,1,0,0,0,0,0,1,1,0,0,0,0,0,15.6259542
3,0,0,1,1,0,0,0,0,0,1,0,0,0,162.0330579
2,0,0,0,1,1,0,1,0,0,0,0,0,0,162.0330579
2,0,0,0,0,1,0,1,0,0,0,0,1,0,162.0330579
2,0,0,1,0,0,0,0,0,0,0,0,0,0,162.0330579
3,1,1,0,0,0,0,0,0,0,1,0,0,0,162.0330579
2,0,1,0,0,0,1,0,0,0,0,0,0,0,162.0330579
2,0,1,0,0,0,0,0,0,0,1,1,0,0,162.0330579
2,0,0,1,0,1,0,1,0,0,0,0,0,0,162.0330579
3,1,0,0,0,0,1,0,0,0,0,0,1,0,162.0330579
2,1,0,0,0,0,1,0,1,0,0,0,0,0,162.0330579
2,1,0,1,0,0,1,0,0,0,0,0,0,0,162.0330579
2,1,1,0,0,1,0,0,0,0,0,0,0,0,162.0330579
2,1,0,0,1,0,1,0,0,0,0,0,0,0,162.0330579
2,1,0,1,0,0,0,0,0,1,0,0,0,0,15.6259542
2,1,1,1,0,0,0,0,0,0,0,0,0,0,162.0330579
2,0,0,1,0,0,1,0,1,0,0,0,0,0,162.0330579
3,0,0,0,0,0,0,1,0,0,0,0,0,0,162.0330579
2,1,1,0,0,0,0,0,0,0,0,0,1,0,162.0330579
2,0,1,0,1,0,0,0,0,0,1,0,0,0,162.0330579
3,0,0,1,0,0,1,0,0,0,0,0,1,0,162.0330579
2,0,0,1,0,0,1,1,0,0,0,0,0,0,162.0330579
3,0,1,0,0,0,0,0,1,0,1,0,0,0,162.0330579
2,0,1,1,1,0,0,0,0,0,0,0,0,0,162.0330579
1,1,1,0,0,0,1,0,0,0,0,0,0,0,60.89361702
2,0,0,0,0,1,0,0,1,0,0,0,0,0,60.89361702
2,0,1,1,0,0,0,0,1,0,0,0,0,0,60.89361702
2,0,1,0,0,0,1,0,0,0,1,0,0,0,60.89361702
2,0,0,0,0,1,0,0,0,0,0,0,0,0,60.89361702
2,0,1,0,1,1,0,0,0,0,0,0,0,0,60.89361702
3,1,0,0,0,1,0,0,0,0,0,1,0,0,60.89361702
2,0,0,0,0,0,0,1,0,0,1,0,1,0,60.89361702
3,0,0,0,1,0,0,1,0,0,1,0,0,0,60.89361702
3,0,0,0,0,1,0,1,1,0,0,0,0,0,60.89361702
2,0,1,1,0,0,0,0,0,1,0,0,0,0,60.89361702
3,1,1,0,1,0,0,0,0,0,0,0,0,0,60.89361702
3,1,0,1,0,1,0,0,0,0,0,0,0,0,60.89361702
2,0,1,0,0,0,0,0,1,0,0,0,0,0,60.89361702
2,0,0,0,0,0,0,0,1,0,0,0,0,0,60.89361702
2,0,1,0,1,1,0,0,0,0,0,0,0,0,60.89361702
3,0,1,0,0,1,0,0,0,0,0,0,0,0,60.89361702
1,1,1,0,0,0,0,0,0,1,0,0,0,0,60.89361702
2,1,1,1,0,0,0,0,0,0,0,0,0,0,60.89361702
2,0,0,1,1,0,1,0,0,0,0,0,0,0,60.89361702
2,0,0,1,0,1,0,0,0,0,1,0,0,0,60.89361702
2,1,1,0,0,0,0,0,0,0,0,0,0,0,60.89361702
2,1,0,0,0,1,0,0,0,1,0,0,0,0,60.89361702
2,0,1,1,0,0,0,0,0,0,0,1,0,0,60.89361702
2,0,0,1,1,0,0,0,0,1,0,0,0,0,60.89361702
2,0,0,1,0,0,1,0,0,1,0,0,0,0,10.8220339
2,0,0,0,0,0,1,0,0,0,0,0,1,0,60.89361702
2,1,1,0,0,1,0,0,0,0,0,0,0,0,60.89361702
3,1,0,1,0,1,0,0,0,0,0,0,0,0,60.89361702
3,0,0,0,0,1,1,1,0,0,0,0,0,0,10.8220339
2,0,1,0,0,0,0,1,1,0,0,0,0,0,60.89361702
2,1,0,0,0,0,0,0,0,0,0,0,0,0,60.89361702
3,0,0,0,1,0,0,1,1,0,0,0,0,0,60.89361702
2,1,1,0,0,1,0,0,0,0,0,0,0,0,60.89361702
2,0,0,0,1,0,1,0,0,0,0,0,0,0,60.89361702
3,0,0,0,0,0,0,1,1,0,0,0,0,1,60.89361702
2,0,1,1,0,0,0,1,0,0,0,0,0,0,60.89361702
1,0,0,1,0,0,1,1,0,0,0,0,0,0,10.8220339
2,0,0,1,0,0,1,0,0,0,0,0,1,0,60.89361702
2,0,1,0,0,0,0,0,0,0,0,0,0,0,60.89361702
2,1,1,0,0,0,1,0,0,0,0,0,0,0,60.89361702
2,0,0,1,0,0,0,0,1,1,0,0,0,0,60.89361702
2,0,0,1,0,1,0,1,0,0,0,0,0,0,10.8220339
2,0,0,0,0,0,0,1,0,1,0,1,0,0,60.89361702
1,0,1,0,0,1,0,1,0,0,0,0,0,0,60.89361702
3,1,1,0,0,0,1,0,0,0,0,0,0,0,60.89361702
2,0,1,1,1,0,0,0,0,0,0,0,0,0,60.89361702
3,0,0,1,0,0,0,0,0,0,1,0,0,1,60.89361702
2,0,1,0,1,0,1,0,0,0,0,0,0,0,60.89361702
2,1,1,1,0,0,0,0,0,0,0,0,0,0,60.89361702
2,0,0,0,0,0,0,0,0,1,1,0,0,0,10.8220339
3,0,0,1,0,0,0,1,0,0,0,0,0,0,60.89361702
2,0,1,0,0,0,1,0,0,0,0,0,0,0,25.02666667
1,1,0,0,0,0,0,1,0,0,1,0,0,0,25.02666667
2,0,0,1,1,0,0,0,0,1,0,0,0,0,25.02666667
2,0,1,0,0,0,0,1,0,0,0,0,1,0,25.02666667
3,1,0,1,0,0,0,1,0,0,0,0,0,0,25.02666667
2,0,1,0,1,1,0,0,0,0,0,0,0,0,25.02666667
2,1,1,0,0,0,1,0,0,0,0,0,0,0,25.02666667
3,0,1,0,0,0,0,1,0,0,0,1,0,0,10.8220339
1,1,0,0,1,0,1,0,0,0,0,0,0,0,25.02666667
3,1,0,0,0,1,1,0,0,0,0,0,0,0,25.02666667
3,0,1,0,0,0,1,0,0,0,0,0,0,0,25.02666667
2,0,0,1,0,0,0,1,0,0,1,0,0,0,25.02666667
1,0,1,1,0,0,0,0,1,0,0,0,0,0,25.02666667
2,1,1,0,0,1,0,0,0,0,0,0,0,0,25.02666667
2,0,0,0,0,0,0,0,0,1,0,0,0,0,10.8220339
3,0,1,1,0,0,0,1,0,0,0,0,0,0,25.02666667
2,1,1,1,0,0,0,0,0,0,0,0,0,0,25.02666667
2,0,1,1,0,0,1,0,0,0,0,0,0,0,25.02666667
2,1,0,1,0,0,0,0,1,0,0,0,0,0,10.8220339
1,0,0,1,0,1,0,0,1,0,0,0,0,0,25.02666667
3,0,1,0,1,0,0,1,0,0,0,0,0,0,10.8220339
3,0,0,1,0,0,0,0,1,0,0,0,1,0,25.02666667
2,1,0,0,0,1,0,0,0,1,0,0,0,0,25.02666667
1,0,0,0,1,0,1,1,0,0,0,0,0,0,25.02666667
2,0,0,0,0,0,0,0,1,0,0,0,0,0,25.02666667
2,0,0,1,0,0,0,1,1,0,0,0,0,0,25.02666667
2,0,0,0,1,0,0,0,0,1,0,0,0,0,10.8220339
3,0,0,1,0,0,1,0,1,0,0,0,0,0,25.02666667
2,0,0,1,1,0,0,1,0,0,0,0,0,0,25.02666667
2,0,1,1,0,0,0,1,0,0,0,0,0,0,25.02666667
3,1,1,0,0,0,0,1,0,0,0,0,0,0,25.02666667
3,0,0,1,1,1,0,0,0,0,0,0,0,0,25.02666667
3,0,0,1,1,0,1,0,0,0,0,0,0,0,25.02666667
2,0,0,1,0,0,0,1,0,0,0,0,1,0,25.02666667
3,0,0,1,0,0,0,0,1,0,1,0,0,0,25.02666667
2,0,0,1,0,0,1,0,0,0,1,0,0,0,25.02666667
3,1,0,1,0,0,0,1,0,0,0,0,0,0,25.02666667
2,0,0,0,0,1,0,1,0,0,1,0,0,0,70.7421875
3,0,0,1,0,0,0,0,0,0,0,0,0,0,70.7421875
1,0,1,1,0,0,0,1,0,0,0,0,0,0,70.7421875
2,0,1,0,0,0,0,0,0,0,0,0,0,0,70.7421875
2,0,1,0,0,0,1,0,1,0,0,0,0,0,10.8220339
2,0,0,0,0,0,0,1,1,0,0,1,0,0,70.7421875
2,0,0,0,0,1,0,0,1,0,0,0,0,0,70.7421875
2,1,0,0,0,0,1,0,0,0,0,1,0,0,70.7421875
2,0,0,0,1,0,0,1,0,0,0,0,1,0,70.7421875
2,1,1,0,0,0,1,0,0,0,0,0,0,0,70.7421875
3,0,0,0,0,1,0,1,0,0,1,0,0,0,70.7421875
2,1,0,0,1,0,0,1,0,0,0,0,0,0,70.7421875
2,0,0,0,0,0,0,1,0,0,0,0,0,0,70.7421875
2,0,1,0,0,0,1,0,1,0,0,0,0,0,70.7421875
2,0,0,0,0,1,0,0,0,0,1,0,1,0,70.7421875
2,0,0,0,1,0,1,0,0,0,0,0,0,0,70.7421875
2,0,1,1,0,0,0,0,0,0,0,1,0,0,70.7421875
3,1,1,1,0,0,0,0,0,0,0,0,0,0,70.7421875
3,0,1,0,0,1,0,1,0,0,0,0,0,0,70.7421875
2,0,0,1,0,0,0,1,0,0,0,0,1,0,70.7421875
3,0,0,1,0,1,1,0,0,0,0,0,0,0,70.7421875
2,1,0,0,0,1,0,1,0,0,0,0,0,0,70.7421875
3,1,0,0,0,1,0,0,0,0,1,0,0,0,70.7421875
3,0,0,1,0,0,1,0,1,0,0,0,0,0,70.7421875
2,0,1,1,1,0,0,0,0,0,0,0,0,0,70.7421875
3,0,0,1,0,0,1,0,1,0,0,0,0,0,70.7421875
2,1,0,0,1,0,0,0,0,0,0,0,0,0,70.7421875
2,1,0,0,0,0,0,1,0,0,0,0,0,0,70.7421875
2,0,0,0,1,0,1,0,0,1,0,0,0,0,10.8220339
2,1,0,1,0,1,0,0,0,0,0,0,0,0,70.7421875
1,0,1,0,0,1,0,0,1,0,0,0,0,0,70.7421875
3,0,0,1,0,0,1,1,0,0,0,0,0,0,70.7421875
2,1,1,0,1,0,0,0,0,0,0,0,0,0,70.7421875
3,0,1,0,0,0,0,1,0,0,0,0,0,0,70.7421875
2,1,0,0,0,0,0,1,0,0,0,0,0,0,70.7421875
3,0,1,1,1,0,0,0,0,0,0,0,0,0,70.7421875
2,0,0,0,1,0,1,0,0,0,0,0,1,0,70.7421875
2,0,0,1,0,0,1,0,0,0,1,0,0,0,70.7421875
3,1,1,0,0,0,1,0,0,0,0,0,0,0,10.8220339
3,0,1,0,0,0,1,1,0,0,0,0,0,0,70.7421875
2,0,1,0,0,0,0,1,0,0,0,0,0,0,70.7421875
2,1,0,1,0,0,0,1,0,0,0,0,0,0,70.7421875
